ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
83;Getreideriegel mit Schokoladeüberzug;459;20,2;58;8,5;pro 100g essbarer Anteil;Süssigkeiten/Riegel;;;;
84;Grüne Bohnen, gekocht;26;0,2;4;2;pro 100g essbarer Anteil;Gemüse/Gemüse gekocht (inkl. Konserven);;0,1;3,3;-6
85;Gummibonbon mit Fruchtessenz;341;0;78,6;6,6;pro 100g essbarer Anteil;Süssigkeiten/Bonbons, Frucht- und Kaugummi;;;;
86;Gurke, roh;14;0,1;2;0,7;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,04;1,7;-5
87;Haferflocken;381;7,5;59,5;13,5;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;;1;1;-6
88;Hafermilch;46;1,5;6,7;1;pro 100 ml;Milch und Milchprodukte/Milch;1;0,3;3,4;12
89;Hamburger, doppelt;258;12,1;24,7;11,9;pro 100g essbarer Anteil;Gerichte/Fast Food;;;;
90;Haselnuss;661;59,5;10,1;16,4;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;4,2;3;-3
91;Haselnuss-Schokolade-Brotaufstrich;551;33;55,9;6;pro 100g essbarer Anteil;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,3;10,7;55,9;23
92;Heidelbeere, roh;52;0,3;10,6;0,9;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
93;Himbeere, roh;44;0,8;5,8;1,2;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
94;Hinterschinken;104;2,3;0,7;20,2;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Kochwurstware;;;;
95;Hollandaisesauce;212;18;9,3;3;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
96;Honig (Blütenhonig);306;0;76;0,4;pro 100g essbarer Anteil;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,4;0;76;13
97;Hot Dog in Weissbrot mit Ketchup und Senf;216;6,3;29,6;9,1;pro 100g essbarer Anteil;Gerichte/Sonstige salzige/rezente Gerichte;;;;
98;Hühnerei, ganz, festgekocht;156;10,9;0,3;14;pro 100g essbarer Anteil;Eier;;;;
99;Hühnerei, ganz, roh;140;9,8;0,3;12,6;pro 100g essbarer Anteil;Eier;;3,3;0,5;0
100;Hummus;204;14;9,4;7,3;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
101;Joghurt, nach griechischer Art, mit Rahm, nature (Durchschnitt von Markenprodukten);117;9,4;3,9;4,2;pro 100g essbarer Anteil;Milch und Milchprodukte/Joghurt und Sauermilch;;;;
102;Joghurt-Salatsauce (ohne Öl);64;3,3;5;3,6;pro 100 ml;Fette und Öle/Salatsaucen;1,1;;;
103;Joghurt, Erdbeer;101;2,7;15,2;3,4;pro 100g essbarer Anteil;Milch und Milchprodukte/Joghurt und Sauermilch;1,1;;;
104;Joghurt, nature;66;3,6;4,5;3,9;pro 100g essbarer Anteil;Milch und Milchprodukte/Joghurt und Sauermilch;1,1;;;
105;Joghurt, Vanille;98;3;14;3,7;pro 100g essbarer Anteil;Milch und Milchprodukte/Joghurt und Sauermilch;1,1;;;
106;Johannisbeere, schwarz, roh;71;0,9;9,7;1,3;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
107;Johannisbeerkuchen, hausgemacht (mit süssem Mürbeteig);216;11,7;22,6;3,5;pro 100g essbarer Anteil;Süssigkeiten/Kuchen, Torten und Cake/Gerichte/Kuchen und Gratins;;;;
108;Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh;128;4,8;0;21,1;pro 100g essbarer Anteil;Fleisch und Innereien/Kalb;;;;
109;Kartoffel, roh;70;0,1;14,6;2;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0;0,7;-3
110;Möhre, roh;42;0,4;7,6;0,6;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,1;6;-6
111;Käsekuchen, gebacken (mit Kuchenteig);303;20,8;14,5;14,3;pro 100g essbarer Anteil;Gerichte/Kuchen und Gratins;;;;
112;Ketchup;117;0,4;26;2;pro 100g essbarer Anteil;Verschiedenes/Saucen;1,14;;;
113;Kinder Choco Fresh;573;42,6;40,1;734;pro 100g essbarer Anteil;Süssigkeiten/Riegel;;21,4;39,6;24
114;Kirsche, roh;62;0,4;13;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
115;Knäckebrot, Vollkorn;332;1,7;61,1;12;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;;0,3;3,3;0
116;Knoblauch, roh;137;0,5;24,5;7;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0,1;22,5;1
117;Knuspermüeslimischung, mit Schokolade;442;17,4;58,8;9;pro 100g essbarer Anteil;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;;5,2;19,8;10
118;Kochpökelware (Durchschnitt);223;15,6;0,7;19,8;pro 100g essbarer Anteil;Fleisch- und Wurstwaren/Kochwurstware;;;;
